ensembl_gene_id,external_gene_name,hgnc_symbol,release,external_gene_name_cap
ENSG00000244389,RN7SL242P,RN7SL242P,94,RN7SL242P
ENSG00000206637,RF00156,,94,RF00156
ENSG00000201114,RF00019,,94,RF00019
ENSG00000274210,RF00003,,94,RF00003
ENSG00000252450,RF00019,,94,RF00019
ENSG00000206679,RF00019,,94,RF00019
ENSG00000277168,RF00017,,94,RF00017
ENSG00000252744,RF00019,,94,RF00019
ENSG00000221040,RF00012,,94,RF00012
ENSG00000277678,RF00003,,94,RF00003
ENSG00000252357,RF00019,,94,RF00019
ENSG00000277141,RF00017,,94,RF00017
ENSG00000212538,RF00012,,94,RF00012
ENSG00000206692,RF00019,,94,RF00019
ENSG00000201405,RF00019,,94,RF00019
ENSG00000274963,RN7SL600P,RN7SL600P,94,RN7SL600P
ENSG00000252011,RF00402,,94,RF00402
ENSG00000137955,RABGGTB,RABGGTB,94,RABGGTB
ENSG00000143224,PPOX,PPOX,94,PPOX
ENSG00000227671,AL390728.4,,94,AL390728.4
ENSG00000203667,COX20,COX20,94,COX20
ENSG00000279838,AL356273.3,,94,AL356273.3
ENSG00000230615,AL139220.2,,94,AL139220.2
ENSG00000198756,COLGALT2,COLGALT2,94,COLGALT2
ENSG00000159214,CCDC24,CCDC24,94,CCDC24
ENSG00000272864,AC135803.1,,94,AC135803.1
ENSG00000198860,TSEN15,TSEN15,94,TSEN15
ENSG00000116791,CRYZ,CRYZ,94,CRYZ
ENSG00000160691,SHC1,SHC1,94,SHC1
ENSG00000116667,C1orf21,C1orf21,94,C1ORF21
ENSG00000116406,EDEM3,EDEM3,94,EDEM3
ENSG00000179914,ITLN1,ITLN1,94,ITLN1
ENSG00000162623,TYW3,TYW3,94,TYW3
ENSG00000000938,FGR,FGR,94,FGR
ENSG00000135842,FAM129A,FAM129A,94,FAM129A
ENSG00000121481,RNF2,RNF2,94,RNF2
ENSG00000121486,TRMT1L,TRMT1L,94,TRMT1L
ENSG00000215845,TSTD1,TSTD1,94,TSTD1
ENSG00000158769,F11R,F11R,94,F11R
ENSG00000238061,AL356273.2,,94,AL356273.2
ENSG00000116668,SWT1,SWT1,94,SWT1
ENSG00000277916,RF02271,,94,RF02271
ENSG00000201421,RF00019,,94,RF00019
ENSG00000272051,RF00019,,94,RF00019
ENSG00000173171,MTX1,MTX1,94,MTX1
ENSG00000160766,GBAP1,GBAP1,94,GBAP1
ENSG00000163348,PYGO2,PYGO2,94,PYGO2
ENSG00000163344,PMVK,PMVK,94,PMVK
ENSG00000116786,PLEKHM2,PLEKHM2,94,PLEKHM2
ENSG00000233355,CHRM3-AS2,CHRM3-AS2,94,CHRM3-AS2
ENSG00000116260,QSOX1,QSOX1,94,QSOX1
ENSG00000143337,TOR1AIP1,TOR1AIP1,94,TOR1AIP1
ENSG00000162620,LRRIQ3,LRRIQ3,94,LRRIQ3
ENSG00000143669,LYST,LYST,94,LYST
ENSG00000143612,C1orf43,C1orf43,94,C1ORF43
ENSG00000168264,IRF2BP2,IRF2BP2,94,IRF2BP2
ENSG00000134202,GSTM3,GSTM3,94,GSTM3
ENSG00000116991,SIPA1L2,SIPA1L2,94,SIPA1L2
ENSG00000168765,GSTM4,GSTM4,94,GSTM4
ENSG00000214114,MYCBP,MYCBP,94,MYCBP
ENSG00000076321,KLHL20,KLHL20,94,KLHL20
ENSG00000182118,FAM89A,FAM89A,94,FAM89A
ENSG00000171806,METTL18,METTL18,94,METTL18
ENSG00000116717,GADD45A,GADD45A,94,GADD45A
ENSG00000228126,FALEC,FALEC,94,FALEC
ENSG00000143185,XCL2,XCL2,94,XCL2
ENSG00000143184,XCL1,XCL1,94,XCL1
ENSG00000143314,MRPL24,MRPL24,94,MRPL24
ENSG00000143384,MCL1,MCL1,94,MCL1
ENSG00000203804,ADAMTSL4-AS1,ADAMTSL4-AS1,94,ADAMTSL4-AS1
ENSG00000143382,ADAMTSL4,ADAMTSL4,94,ADAMTSL4
ENSG00000142583,SLC2A5,SLC2A5,94,SLC2A5
ENSG00000143156,NME7,NME7,94,NME7
ENSG00000204084,INPP5B,INPP5B,94,INPP5B
ENSG00000143321,HDGF,HDGF,94,HDGF
ENSG00000184371,CSF1,CSF1,94,CSF1
ENSG00000227373,AL121983.2,,94,AL121983.2
ENSG00000086015,MAST2,MAST2,94,MAST2
ENSG00000143379,SETDB1,SETDB1,94,SETDB1
ENSG00000142751,GPN2,GPN2,94,GPN2
ENSG00000159592,GPBP1L1,GPBP1L1,94,GPBP1L1
ENSG00000230896,AL604028.1,,94,AL604028.1
ENSG00000116906,GNPAT,GNPAT,94,GNPAT
ENSG00000158828,PINK1,PINK1,94,PINK1
ENSG00000143641,GALNT2,GALNT2,94,GALNT2
ENSG00000225986,UBXN10-AS1,UBXN10-AS1,94,UBXN10-AS1
ENSG00000162913,OBSCN-AS1,OBSCN-AS1,94,OBSCN-AS1
ENSG00000143178,TBX19,TBX19,94,TBX19
ENSG00000143126,CELSR2,CELSR2,94,CELSR2
ENSG00000117620,SLC35A3,SLC35A3,94,SLC35A3
ENSG00000132698,RAB25,RAB25,94,RAB25
ENSG00000130695,CEP85,CEP85,94,CEP85
ENSG00000116237,ICMT,ICMT,94,ICMT
ENSG00000134686,PHC2,PHC2,94,PHC2
ENSG00000142675,CNKSR1,CNKSR1,94,CNKSR1
ENSG00000118873,RAB3GAP2,RAB3GAP2,94,RAB3GAP2
ENSG00000143373,ZNF687,ZNF687,94,ZNF687
ENSG00000143398,PIP5K1A,PIP5K1A,94,PIP5K1A
ENSG00000182749,PAQR7,PAQR7,94,PAQR7
